id	image	image_src	image_legende	nom_fr	nom_latin	region	systeme	fonction	rapports	notes_cliniques	sources	importance
os_frontal	os_frontal.jpg|os_frontal-3d.jpg	libre		Os frontal	Os frontale	Neurocrâne	Ostéologie	Os impair et médian formant le front, le toit des orbites et une partie de la fosse crânienne antérieure. Protège les lobes frontaux.	S'articule avec les deux pariétaux (suture coronale), l'ethmoïde, le sphénoïde, les os nasaux, les maxillaires, les os lacrymaux et zygomatiques. Contient les sinus frontaux qui s'ouvrent dans le méat nasal moyen.	Fracture du toit de l'orbite. Sinusite frontale. La suture métopique persiste chez environ 10 pour cent des adultes et peut simuler une fracture.	https://fr.wikipedia.org/wiki/Os_frontal	4
os_parietal	os_parietal.jpg|os_parietal-3d.jpg	libre		Os pariétal	Os parietale	Neurocrâne	Ostéologie	Os pair formant la plus grande partie de la voûte et des faces latérales du crâne. Protège les lobes pariétaux.	S'articule avec le pariétal controlatéral (suture sagittale), le frontal (coronale), l'occipital (lambdoïde) et l'écaille du temporal. Sa face interne est creusée par les sillons de l'artère méningée moyenne.	Le ptérion, à la jonction frontal-pariétal-temporal-sphénoïde, recouvre l'artère méningée moyenne. Un traumatisme y provoque un hématome extradural.	https://fr.wikipedia.org/wiki/Os_pariétal	3
os_occipital	os_occipital.jpg|os_occipital-3d.jpg	libre		Os occipital	Os occipitale	Base du crâne	Ostéologie	Os impair et médian de la partie postéro-inférieure du crâne. Percé du foramen magnum livrant passage à la jonction bulbo-médullaire.	Comprend l'écaille, deux parties latérales portant les condyles occipitaux, et la partie basilaire. Les condyles s'articulent avec l'atlas. La partie basilaire fusionne avec le sphénoïde (synchondrose sphéno-occipitale, ossifiée vers 25 ans).	Fracture de la base occipitale. Impression basilaire. Les condyles portent le canal du nerf hypoglosse.	https://fr.wikipedia.org/wiki/Os_occipital	4
os_temporal	os_temporal.jpg|os_temporal-3d.jpg	libre		Os temporal	Os temporale	Base du crâne	Ostéologie	Os pair contenant les organes de l'audition et de l'équilibration dans sa partie pétreuse. Participe à la base et à la paroi latérale du crâne.	Quatre parties : écaille, partie tympanique, partie pétreuse (rocher) et processus mastoïde. Le rocher sépare fosses crâniennes moyenne et postérieure. Traversé par le canal carotidien, le méat acoustique interne, le canal facial.	Fracture du rocher (otorragie, paralysie faciale, atteinte cochléo-vestibulaire). Mastoïdite compliquant une otite moyenne. Repère chirurgical majeur de la base.	https://fr.wikipedia.org/wiki/Os_temporal	5
os_sphenoide	os_sphenoide.jpg|os_sphenoide-3d.jpg	libre		Os sphénoïde	Os sphenoidale	Base du crâne	Ostéologie	Os impair et médian au centre de la base du crâne, articulé avec presque tous les autres os crâniens. Porte la selle turcique où loge l'hypophyse.	Corps (sinus sphénoïdal, selle turcique), petites ailes (canal optique, processus clinoïdes antérieurs), grandes ailes (foramens rond, ovale, épineux), processus ptérygoïdes. La fissure orbitaire supérieure sépare petite et grande aile.	Adénome hypophysaire opéré par voie trans-sphénoïdale. Fracture de la base avec brèche ostéo-méningée. Clé de voûte de la base du crâne.	https://fr.wikipedia.org/wiki/Os_sphénoïde	5
os_ethmoide	os_ethmoide.jpg|os_ethmoide-3d.jpg	libre		Os ethmoïde	Os ethmoidale	Neurocrâne	Ostéologie	Os impair et médian entre les deux orbites, participant aux parois nasales, à l'orbite et à la fosse crânienne antérieure.	Lame criblée (passage des filets olfactifs), lame perpendiculaire (septum nasal), deux labyrinthes ethmoïdaux (cellules ethmoïdales, cornets nasaux supérieur et moyen). La lame criblée porte la crista galli où s'insère la faux du cerveau.	Fracture de la lame criblée : rhinorrhée cérébro-spinale, anosmie, risque de méningite. Ethmoïdite de l'enfant pouvant se compliquer de cellulite orbitaire.	https://fr.wikipedia.org/wiki/Os_ethmoïde	4
maxillaire	maxillaire.jpg|maxillaire-3d.jpg	libre		Maxillaire	Maxilla	Viscérocrâne	Ostéologie	Os pair formant la mâchoire supérieure, le plancher de l'orbite, les parois latérales de la cavité nasale et la plus grande partie du palais osseux. Porte les dents supérieures.	Corps creusé du sinus maxillaire (le plus volumineux des sinus paranasaux, drainage dans le méat moyen), quatre processus (frontal, zygomatique, alvéolaire, palatin). Le processus palatin forme les deux tiers antérieurs du palais dur.	Fractures de Le Fort (I, II, III) de l'étage moyen de la face. Sinusite maxillaire d'origine dentaire. Fente palatine par défaut de fusion des processus palatins.	https://fr.wikipedia.org/wiki/Maxillaire_(os)	4
mandibule	mandibule.jpg|mandibule-3d.jpg	libre		Mandibule	Mandibula	Viscérocrâne	Ostéologie	Seul os mobile du crâne. Porte les dents inférieures et s'articule avec l'os temporal par l'articulation temporo-mandibulaire.	Corps (bord alvéolaire, symphyse mentonnière), deux branches portant chacune le processus condylaire et le processus coronoïde séparés par l'incisure mandibulaire. Le canal mandibulaire livre passage au nerf alvéolaire inférieur, du foramen mandibulaire au foramen mentonnier.	Fracture fréquente au niveau de l'angle, du col condylaire et de la symphyse (souvent bifocale). Anesthésie tronculaire du nerf alvéolaire inférieur au foramen mandibulaire. Luxation antérieure de l'ATM.	https://fr.wikipedia.org/wiki/Mandibule	5
os_zygomatique	os_zygomatique.jpg|os_zygomatique-3d.jpg	libre		Os zygomatique	Os zygomaticum	Viscérocrâne	Ostéologie	Os pair de la pommette, formant le relief de la joue et une partie de la paroi latérale et du plancher de l'orbite.	S'articule avec le maxillaire, l'os frontal, la grande aile du sphénoïde et le processus zygomatique du temporal (avec lequel il forme l'arcade zygomatique). Percé du foramen zygomatico-facial.	Fracture du complexe zygomatico-maxillaire (fracture du malaire) : enfoncement de la pommette, diplopie, hypoesthésie sous-orbitaire, limitation de l'ouverture buccale.	https://fr.wikipedia.org/wiki/Os_zygomatique	3
os_nasal	os_nasal.jpg|os_nasal-3d.jpg	libre		Os nasal	Os nasale	Viscérocrâne	Ostéologie	Petit os pair formant le dos osseux du nez (partie supérieure de la pyramide nasale). En bas se poursuit le cartilage.	S'articule avec l'os nasal controlatéral, le processus frontal du maxillaire, l'os frontal et la lame perpendiculaire de l'ethmoïde.	Os le plus fréquemment fracturé de la face. La fracture des os propres du nez donne une déformation, une épistaxis et parfois un hématome de cloison à drainer en urgence.	https://fr.wikipedia.org/wiki/Os_nasal	2
