pl;groupe;titre;page_pdf;n_legendes
pl001;Anatomie de surface;Tête et cou : anatomie de surface;18;25
pl002;Anatomie de surface;Nerfs cutanés de la tête et du cou;19;29
pl003;Régions superficielles de la tête et du cou;Artères et veines superficielles de la face et du cuir chevelu;20;37
pl004;Régions superficielles de la tête et du cou;Tête osseuse : vue antérieure;21;40
pl005;Os et ligaments;Tête osseuse : radiographie de face (antéro-postérieure);22;12
pl006;Os et ligaments;Tête osseuse : vue latérale;23;46
pl007;Os et ligaments;Tête osseuse : radiographie de profil (latérale);24;12
pl008;Os et ligaments;Crâne : coupe sagittale médiane;25;53
pl009;Os et ligaments;Calvaria;26;20
pl010;Os et ligaments;Base externe du crâne;27;50
pl011;Os et ligaments;Base interne du crâne;28;41
pl012;Os et ligaments;Foramens et canaux de la base du crâne : vue inférieure;29;45
pl013;Os et ligaments;Foramens et canaux de la base du crâne : vue supérieure;30;59
pl014;Os et ligaments;Crâne du nouveau-né;31;36
pl015;Os et ligaments;Squelette osseux de la tête et du cou;32;25
pl016;Os et ligaments;Fosse ptérygoïdienne : vues postérieure et inféro-latérale;33;30
pl017;Os et ligaments;Mandibule;34;28
pl018;Os et ligaments;Articulation temporo-mandibulaire;35;21
pl019;Os et ligaments;Vertèbres cervicales : atlas et axis;36;34
pl020;Os et ligaments;Vertèbres cervicales (suite);37;40
pl021;Os et ligaments;Vertèbres cervicales : articulations uncovertébrales;38;30
pl022;Os et ligaments;Ligaments cranio-vertébraux externes;39;27
pl023;Os et ligaments;Ligaments cranio-vertébraux internes;40;30
pl024;Os et ligaments;Branches du nerf facial et glande parotide;41;18
pl025;Régions superficielles de la face;Muscles de la mimique : vue latérale;42;34
pl026;Régions superficielles de la face;Fascias du cou;43;40
pl027;Cou;Muscles du cou : vue antérieure;44;33
pl028;Cou;Muscles infra-hyoïdiens et supra-hyoïdiens;45;24
pl029;Cou;Muscles du cou : vue latérale;46;34
pl030;Cou;Muscles scalènes et prévertébraux;47;28
pl031;Cou;Veines superficielles et nerfs cutanés du cou;48;39
pl032;Cou;Nerfs et vaisseaux du cou;49;31
pl033;Cou;Nerfs et vaisseaux du cou (suite);50;42
pl034;Cou;Artères carotides;51;39
pl035;Région du nez;Nez;52;35
pl036;Région du nez;Paroi latérale de la cavité nasale;54;44
pl037;Région du nez;Paroi latérale de la cavité nasale (suite);54;44
pl038;Région du nez;Paroi médiale de la cavité nasale (septum nasal);55;39
pl039;Région du nez;Nerfs de la cavité nasale;56;29
pl040;Région du nez;Artères de la cavité nasale : septum nasal relevé;57;19
pl041;Région du nez;Nerfs de la cavité nasale : septum nasal relevé;58;20
pl042;Région du nez;Nez et sinus maxillaire : coupe transversale;59;26
pl043;Région du nez;Sinus paranasaux;60;34
pl044;Région du nez;Sinus paranasaux (suite);61;18
pl045;Région du nez;Sinus paranasaux : variations avec l’âge;62;36
pl046;Région du nez;Glandes salivaires;63;31
pl047;Région du nez;Langue et glandes salivaires : coupes;64;46
pl048;Région du nez;Muscles de la mastication;65;15
pl049;Région du nez;Muscles de la mastication (suite);66;30
pl050;Région du nez;Nerf mandibulaire (V3);67;45
pl051;Région du nez;Artère maxillaire;68;57
pl052;Région du nez;Nerf ophtalmique (V1) et maxillaire (V2);69;31
