id;ligne;titre;date;artiste;lieu;description;image;tags;largeur;hauteur;octets
amulette-mahes_700-500-av-j-c;2;Amulette Mahes;-700 / -500 av J.-C.;;Louvre;Oushebti, Corps humain à tête de lion, figurine protectrice portée sur soi ou déposée dans une tombe, collection Adolphe Thiers;amulette-mahes_700-500-av-j-c.jpg;Antiquité, céramique;349;466;12674
hydrie-a-decor-de-satyre-poursuivant-une-menade_450-av-j-c;3;Hydrie à décor de satyre poursuivant une ménade;-450 av J.-C;;Louvre;céramique à décor ocre sur fond noir. Vase muni de trois anses, deux latérales pour transport, une à l’arrière pour verser, utilisée pour transporter l’eau, collection adolphe Thiers.;hydrie-a-decor-de-satyre-poursuivant-une-menade_450-av-j-c.jpg;Antiquité, céramique;495;468;23236
camee-antique-restauree-chasse-au-sanglier_sans-titre;4;camée antique restaurée, chasse au sanglier;;Luigi Valadier;Louvre;Partie droite antique, partie gauche XVIIs par Luigi Valadier, orfèvre et joaillier italien. Sardoine;camee-antique-restauree-chasse-au-sanglier_sans-titre.jpg;glyptique, antiquité;526;390;28817
statuette-de-daphne_1570-75;5;Statuette de Daphné;1570-75;Wenzel Jamnitzer;Musée national de la Renaissance;argent et corail. (Métamorphoses Ovide, transformée en laurier pour échapper à Apollon) Kunstkammer. lié au maniérisme ⇒ métamorphose, rencontre inédite entre monde marin et référence à la statuaire antique;statuette-de-daphne_1570-75.jpg;Orfèvrerie, Maniérisme;1026;1400;86815
horloge-de-table-en-forme-de-tour-carre-aux-arme_vers-1580;6;Horloge de table en forme de tour carré aux armes d’Henri III,;vers 1580;Mathieu Bachelet;Louvre;Laiton doré ciselé de scènes paysannes et grotesques.;horloge-de-table-en-forme-de-tour-carre-aux-arme_vers-1580.jpg;Orfèvrerie, Renaissance, horlogerie;469;640;49902
la-nymphe-de-fontainebleau_c-1542-1545;7;La nymphe de Fontainebleau;C. 1542-1545,;Benvenuto Cellini;Louvre;Bas relief en bronze censé décorer la porte dorée du château. Les chiens de chasse du roi découvrent une fontaine, représentée sous les traits d’une nymphe. corps allongé, animaux avec précision naturaliste, grande tête de cerf.;la-nymphe-de-fontainebleau_c-1542-1545.jpg;Sculpture, maniérisme, bronze;640;427;44833
plaquette-en-bronze-de-saint-georges-terrassant-_c-1500;8;Plaquette en bronze de Saint Georges terrassant le dragon;C.1500;Riccio;Louvre;Objet de collection pour les humanistes dans leur cabinet, étaient montrés aux visiteurs. Certaines décoraient du mobilier comme des coffrets. cadeau diplomatique et manifestent culture du propriétaire. Scènes allégoriques, bibliques, ou mythologique;plaquette-en-bronze-de-saint-georges-terrassant-_c-1500.jpg;Renaissance, bronze;640;480;31218
medaille-en-bronze-avec-le-profil-de-lionel-d-es_1ere-moitie-xvs;9;Médaille en bronze avec le profil de Lionel d’Este;1ere moitié XVs;Pisanello;Louvre;Marquis de Ferrare;medaille-en-bronze-avec-le-profil-de-lionel-d-es_1ere-moitie-xvs.jpg;Renaissance, bronze;640;640;51848
bassin-ovale-aux-rustiques-figulines_1550-1560;10;bassin ovale aux rustiques figulines;1550-1560;Bernard Palissy;Louvre;crabe, écrevisse, tortue, lézard, grenouille, serpent, raie, coquillage, moulés sur nature.;bassin-ovale-aux-rustiques-figulines_1550-1560.jpg;céramique, faïence, maniérisme;915;736;115148
carreau-de-faience-a-decor-de-grotesques_1500-1515;11;Carreau de faïence à décor de grotesques;1500-1515;Sienne;Louvre;Décor de chimère, dauphins, enroulements de feuillages, têtes ailées, posées sur cartouche, guirlandes et trophées suspendus;carreau-de-faience-a-decor-de-grotesques_1500-1515.jpg;céramique, faïence, Renaissance;339;510;38805
biberon-a-trois-anses_1540-1560;12;Biberon à trois anses;1540-1560;Saint-Porchaire;Louvre;Pâte kaolinique. Panse rattachée à la base par une couronne de feuilles d’acanthes, socle porté par 3 têtes humaines et une tête de mort. Décor géométrique et feuillagé noir sur fond blanc.;biberon-a-trois-anses_1540-1560.jpg;Céramique, Renaissance;940;1400;163969
tenture-les-chasses-de-maximilien-mois-de-mars-c_vers-1530;13;Tenture “les chasses de Maximilien”. Mois de Mars ⇒ chasse au faucon à Bruxelles.;vers 1530;Atelier de Bruxelles, d'après le carton de Bernard Van Orley.;Louvre;Laine et soie pour chaine et trame mais aussi argent et or. 12 tapisseries (1 par mois), commande des Habsbourgs (mais qui ? on a pris l’habitude de dire Maximilien).Thèmes de la chasse à l’oiseau, au cerf, au sanglier. Bordure inférieure : bas relief antique. Bordure supérieure et latérales : guirlande de fleurs et fruits avec animaux divers.;tenture-les-chasses-de-maximilien-mois-de-mars-c_vers-1530.jpg;Tapisserie, Renaissance;889;520;140081
majolique-de-la-scene-de-la-manne_1540-1550;14;Majolique de la scène de la Manne;1540-1550;Atelier des Fontana, Urbino. Gravure de Raimondi d’après Raphaël;Louvre;Décor à istoriato;majolique-de-la-scene-de-la-manne_1540-1550.jpg;Faïence, Renaissance;468;484;59410
enlevement-des-sabines_1579-1583;15;enlèvement des Sabines;1579-1583;Jean de Bologne;loggia dei lanzi;Tite-live;enlevement-des-sabines_1579-1583.jpg;Sculpture, marbre, Baroque;500;750;49800
le-jeune-mendiant_v-1645-1648;16;Le jeune mendiant;V.1645-1648;Bartolomé Esteban Murillo;Louvre;Pauvreté à Séville, se débarrasse de ses puces, période de peste, clair obscur qui confère noblesse, à même le sol, habits troués.;le-jeune-mendiant_v-1645-1648.jpg;Peinture, Huile, Baroque;1153;1400;228753
