id;ligne;titre;date;artiste;lieu;image;tags;largeur;hauteur;octets
amulette-mahes_700-500-av-j-c;2;Amulette Mahes;-700 / -500 av J.-C.;;Louvre;amulette-mahes_700-500-av-j-c.jpg;Antiquité, céramique;349;466;12674
hydrie-a-decor-de-satyre-poursuivant-une-menade_450-av-j-c;3;Hydrie à décor de satyre poursuivant une ménade;-450 av J.-C;;Louvre;hydrie-a-decor-de-satyre-poursuivant-une-menade_450-av-j-c.jpg;Antiquité, céramique;495;468;23236
camee-antique-restauree-chasse-au-sanglier_sans-titre;4;camée antique restaurée, chasse au sanglier;;Luigi Valadier;Louvre;camee-antique-restauree-chasse-au-sanglier_sans-titre.jpg;glyptique, antiquité;526;390;28817
statuette-de-daphne_1570-75;5;Statuette de Daphné;1570-75;Wenzel Jamnitzer;Musée national de la Renaissance;statuette-de-daphne_1570-75.jpg;Orfèvrerie, Maniérisme;1026;1400;86815
horloge-de-table-en-forme-de-tour-carre-aux-arme_vers-1580;6;Horloge de table en forme de tour carré aux armes d’Henri III,;vers 1580;Mathieu Bachelet;Louvre;horloge-de-table-en-forme-de-tour-carre-aux-arme_vers-1580.jpg;Orfèvrerie, Renaissance, horlogerie;469;640;49902
la-nymphe-de-fontainebleau_c-1542-1545;7;La nymphe de Fontainebleau;C. 1542-1545,;Benvenuto Cellini;Louvre;la-nymphe-de-fontainebleau_c-1542-1545.jpg;Sculpture, maniérisme, bronze;640;427;44833
plaquette-en-bronze-de-saint-georges-terrassant-_c-1500;8;Plaquette en bronze de Saint Georges terrassant le dragon;C.1500;Riccio;Louvre;plaquette-en-bronze-de-saint-georges-terrassant-_c-1500.jpg;Renaissance, bronze;640;480;31218
medaille-en-bronze-avec-le-profil-de-lionel-d-es_1ere-moitie-xvs;9;Médaille en bronze avec le profil de Lionel d’Este;1ere moitié XVs;Pisanello;Louvre;medaille-en-bronze-avec-le-profil-de-lionel-d-es_1ere-moitie-xvs.jpg;Renaissance, bronze;640;640;51848
bassin-ovale-aux-rustiques-figulines_1550-1560;10;bassin ovale aux rustiques figulines;1550-1560;Bernard Palissy;Louvre;bassin-ovale-aux-rustiques-figulines_1550-1560.jpg;céramique, faïence, maniérisme;915;736;115148
carreau-de-faience-a-decor-de-grotesques_1500-1515;11;Carreau de faïence à décor de grotesques;1500-1515;Sienne;Louvre;carreau-de-faience-a-decor-de-grotesques_1500-1515.jpg;céramique, faïence, Renaissance;339;510;38805
biberon-a-trois-anses_1540-1560;12;Biberon à trois anses;1540-1560;Saint-Porchaire;Louvre;biberon-a-trois-anses_1540-1560.jpg;Céramique, Renaissance;940;1400;163969
tenture-les-chasses-de-maximilien-mois-de-mars-c_vers-1530;13;Tenture “les chasses de Maximilien”. Mois de Mars ⇒ chasse au faucon à Bruxelles.;vers 1530;Atelier de Bruxelles, d'après le carton de Bernard Van Orley.;Louvre;tenture-les-chasses-de-maximilien-mois-de-mars-c_vers-1530.jpg;Tapisserie, Renaissance;889;520;140081
