rang;nombre;categorie;cle
1;165;Peinture;peinture
2;154;Huile;huile
3;76;Sculpture;sculpture
4;64;Mobilier;mobilier
5;53;Portrait;portrait
6;39;bronze;bronze
7;38;néoclassicisme;neoclassicisme
8;37;Histoire;histoire
9;31;Rocaille;rocaille
10;31;Scène de genre;scene de genre
11;30;Orient;orient
12;29;Paysage;paysage
13;28;romantisme;romantisme
14;28;siège;siege
15;26;Architecture;architecture
16;25;Bois;bois
17;24;Dessin;dessin
18;24;Orfèvrerie;orfevrerie
19;21;animaux;animaux
20;20;marbre;marbre
21;17;art déco;art deco
22;17;céramique;ceramique
23;16;Bijoux;bijoux
24;16;littérature;litterature
25;16;réalisme;realisme
26;14;Baroque;baroque
27;14;cubisme;cubisme
28;13;japonisme;japonisme
29;13;modernisme milieu de siècle;modernisme milieu de siecle
30;13;plastique;plastique
31;12;mode;mode
32;11;modernisme;modernisme
33;11;Porcelaine;porcelaine
34;11;primitivisme;primitivisme
35;10;Design 60-80;design 60 80
36;10;fauvisme;fauvisme
37;10;néo-gothique;neo gothique
38;10;Renaissance;renaissance
39;9;Antiquité;antiquite
40;8;Art nouveau;art nouveau
41;8;émail;email
42;7;acier;acier
43;7;Néo-Renaissance;neo renaissance
44;7;Post-impressionnisme;post impressionnisme
45;6;art de la table;art de la table
46;6;Maniérisme;manierisme
47;6;photographie;photographie
48;6;Symbolisme;symbolisme
49;5;Arts de la table;arts de la table
50;5;Citation;citation
51;5;estampes;estampes
52;5;fer;fer
53;5;fresque;fresque
54;5;futurisme.;futurisme
55;5;ivoire;ivoire
56;5;pierre;pierre
57;5;verre;verre
58;4;Bauhaus;bauhaus
59;4;commode;commode
60;4;expressionnisme;expressionnisme
61;4;faïence;faience
62;4;Impressionnisme;impressionnisme
63;4;luminaire;luminaire
64;4;néo-grec;neo grec
65;4;pastel;pastel
66;4;plâtre;platre
67;4;postmodernisme;postmodernisme
68;3;Académisme;academisme
69;3;Affiche;affiche
70;3;ébène;ebene
71;3;horlogerie;horlogerie
72;3;Jardin;jardin
73;3;Moyen-age;moyen age
74;3;Nabi;nabi
75;3;Nature morte;nature morte
76;3;régionalisme;regionalisme
77;3;Tapisserie;tapisserie
78;3;Urbanisme;urbanisme
79;2;Abstraction;abstraction
80;2;Animal;animal
81;2;cuir;cuir
82;2;Cuivre;cuivre
83;2;école de paris;ecole de paris
84;2;glyptique;glyptique
85;2;gouache;gouache
86;2;musique;musique
87;2;Néo-Louis XIV;neo louis xiv
88;2;pop art;pop art
89;2;Régence;regence
90;2;Russie;russie
91;1;acajou;acajou
92;1;Aquarelle;aquarelle
93;1;art naïf;art naif
94;1;bois primitivisme;bois primitivisme
95;1;chaise;chaise
96;1;constructivisme;constructivisme
97;1;cuir Bauhaus;cuir bauhaus
98;1;De stijl;de stijl
99;1;Dinanderie;dinanderie
100;1;divisionnisme;divisionnisme
101;1;estampe;estampe
102;1;esthétisme;esthetisme
103;1;Huile dessin;huile dessin
104;1;Huile Scène de genre;huile scene de genre
105;1;Jouet;jouet
106;1;lithographie;lithographie
107;1;Louis XVI;louis xvi
108;1;modernisme milieu de siècle cuir;modernisme milieu de siecle cuir
109;1;nature morte Cubisme;nature morte cubisme
110;1;Néo Louis XVI postmodernisme;neo louis xvi postmodernisme
111;1;orphisme;orphisme
112;1;Papier peint;papier peint
113;1;portrait Cubisme;portrait cubisme
114;1;préhistoire;prehistoire
115;1;réalisme social;realisme social
116;1;Scène de genre Huile;scene de genre huile
117;1;scène de genre néo-renaissance;scene de genre neo renaissance
118;1;siège Bois;siege bois
119;1;surréalisme;surrealisme
120;1;tableaux;tableaux
121;1;terre cuite;terre cuite
122;1;Tissu;tissu
123;1;Transition;transition
124;1;vitrail;vitrail
125;1;Vorticisme;vorticisme
